,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Cost,35.0,32.0,31.0,27.0,30.0,36.0,31.0,27.0,30.0,36.0,36.0,34.0,35.0,32.0,26.0,26.0,29.0,38.0,39.0,37.0
Known Defects,11.0,7.0,11.0,9.0,9.0,12.0,13.0,11.0,11.0,13.0,15.0,8.0,10.0,13.0,11.0,8.0,10.0,11.0,11.0,17.0
Features Used,18.0,12.0,11.0,20.0,21.0,16.0,17.0,18.0,19.0,20.0,28.0,12.0,17.0,18.0,17.0,13.0,11.0,21.0,15.0,23.0
Score,0.0010111121222232333,0.0010111121222232333,0.00151666818333485,0.0010111121222232333,0.0010111121222232333,0.0010111121222232333,0.0010111121222232333,0.00151666818333485,0.0020222242444464665,0.00151666818333485,0.0010111121222232333,0.0025277803055580835,0.00151666818333485,0.0010111121222232333,0.0010111121222232333,0.0030333363666697,0.0010111121222232333,0.0010111121222232333,0.0010111121222232333,0.0025277803055580835
Valid %,0.01841235174568508,0.01967624189846412,0.019575130686241796,0.019039241261463485,0.020131242353464574,0.01797757353312909,0.018867352200685535,0.019099907988796877,0.018998796776574553,0.01963579741357519,0.019180796958574737,0.01946390835279724,0.018604463048907494,0.02019190908079797,0.019302130413241525,0.019484130595241705,0.019008907897796787,0.019474019474019475,0.01945379723157501,0.019049352382685715
Valid Cost,279.0,284.0,306.0,253.0,260.0,298.0,302.0,292.0,234.0,245.0,246.0,289.0,264.0,264.0,271.0,268.0,314.0,258.0,305.0,260.0
Valid Known Defects,30.0,32.0,37.0,23.0,22.0,31.0,31.0,31.0,37.0,29.0,26.0,21.0,28.0,23.0,25.0,30.0,26.0,29.0,28.0,29.0
Valid Features Used,22.0,24.0,26.0,29.0,33.0,31.0,36.0,38.0,28.0,25.0,26.0,24.0,30.0,35.0,30.0,27.0,32.0,34.0,30.0,29.0
Valid Score,35.09060955518946,35.45734840698869,8.522727272727273,48.80509824747743,32.99849321948769,56.63667041619797,73.15112540192926,35.415563790365276,9.366684406599255,7.826982492276004,43.59515023721666,12.623376623376624,0.5978260869565217,31.4221331997997,26.663174436877945,8.770108977685522,12.659574468085106,8.670820353063343,26.81912681912682,14.09235668789809
Time,29.044336557388306,28.375152826309204,27.6667001247406,28.122802257537842,29.963533401489258,29.353696584701538,30.523619651794434,30.249083995819092,30.443148136138916,29.927953958511353,31.274633169174194,31.333635568618774,32.58510184288025,37.45699739456177,35.341315507888794,34.11251401901245,34.01855945587158,32.57503008842468,32.21177649497986,34.55831527709961
